# Espectro C12880MA - Capturado el 2025-11-15 13:32:36
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	27
384.9129	26
386.5505	25
388.1882	24
389.8258	26
391.4634	25
393.1010	23
394.7387	23
396.3763	22
398.0139	21
399.6516	23
401.2892	22
402.9268	21
404.5645	22
406.2021	22
407.8397	21
409.4774	21
411.1150	20
412.7526	21
414.3902	20
416.0279	22
417.6655	21
419.3031	22
420.9408	21
422.5784	19
424.2160	22
425.8537	23
427.4913	21
429.1289	24
430.7666	24
432.4042	26
434.0418	30
435.6794	33
437.3171	41
438.9547	52
440.5923	66
442.2300	82
443.8676	96
445.5052	111
447.1429	127
448.7805	138
450.4181	149
452.0557	152
453.6934	154
455.3310	153
456.9686	147
458.6063	147
460.2439	151
461.8815	156
463.5192	163
465.1568	165
466.7944	169
468.4321	180
470.0697	188
471.7073	193
473.3449	204
474.9826	209
476.6202	215
478.2578	220
479.8955	226
481.5331	234
483.1707	236
484.8084	245
486.4460	253
488.0836	261
489.7213	267
491.3589	271
492.9965	263
494.6341	260
496.2718	251
497.9094	250
499.5470	249
501.1847	249
502.8223	242
504.4599	239
506.0976	230
507.7352	229
509.3728	224
511.0105	215
512.6481	208
514.2857	202
515.9233	197
517.5610	197
519.1986	197
520.8362	206
522.4739	208
524.1115	212
525.7491	212
527.3868	215
529.0244	212
530.6620	212
532.2997	211
533.9373	210
535.5749	207
537.2125	206
538.8502	209
540.4878	204
542.1254	201
543.7631	200
545.4007	201
547.0383	200
548.6760	196
550.3136	198
551.9512	202
553.5889	203
555.2265	209
556.8641	215
558.5017	216
560.1394	228
561.7770	232
563.4146	236
565.0523	243
566.6899	244
568.3275	243
569.9652	249
571.6028	253
573.2404	257
574.8780	264
576.5157	271
578.1533	275
579.7909	277
581.4286	277
583.0662	284
584.7038	278
586.3415	287
587.9791	282
589.6167	284
591.2544	282
592.8920	281
594.5296	274
596.1672	272
597.8049	277
599.4425	277
601.0801	273
602.7178	269
604.3554	270
605.9930	269
607.6307	268
609.2683	268
610.9059	261
612.5436	261
614.1812	254
615.8188	249
617.4564	246
619.0941	242
620.7317	243
622.3693	243
624.0070	240
625.6446	243
627.2822	247
628.9199	241
630.5575	239
632.1951	239
633.8328	242
635.4704	236
637.1080	238
638.7456	235
640.3833	228
642.0209	224
643.6585	218
645.2962	210
646.9338	211
648.5714	211
650.2091	212
651.8467	216
653.4843	215
655.1220	214
656.7596	217
658.3972	218
660.0348	216
661.6725	216
663.3101	215
664.9477	216
666.5854	212
668.2230	204
669.8606	203
671.4983	194
673.1359	186
674.7735	180
676.4111	180
678.0488	185
679.6864	178
681.3240	180
682.9617	182
684.5993	186
686.2369	183
687.8746	188
689.5122	189
691.1498	197
692.7875	189
694.4251	192
696.0627	189
697.7003	186
699.3380	186
700.9756	186
702.6132	178
704.2509	179
705.8885	168
707.5261	159
709.1638	148
710.8014	133
712.4390	121
714.0767	122
715.7143	116
717.3519	125
718.9895	129
720.6272	138
722.2648	145
723.9024	145
725.5401	147
727.1777	147
728.8153	140
730.4530	141
732.0906	134
733.7282	137
735.3659	131
737.0035	129
738.6411	127
740.2787	128
741.9164	120
743.5540	120
745.1916	114
746.8293	113
748.4669	108
750.1045	111
751.7422	106
753.3798	104
755.0174	102
756.6551	100
758.2927	99
759.9303	98
761.5679	94
763.2056	90
764.8432	87
766.4808	86
768.1185	78
769.7561	79
771.3937	74
773.0314	71
774.6690	73
776.3066	69
777.9443	68
779.5819	67
781.2195	66
782.8571	69
784.4948	65
786.1324	63
787.7700	67
789.4077	64
791.0453	63
792.6829	65
794.3206	62
795.9582	63
797.5958	62
799.2334	61
800.8711	60
802.5087	61
804.1463	59
805.7840	55
807.4216	54
809.0592	54
810.6969	51
812.3345	50
813.9721	51
815.6098	49
817.2474	51
818.8850	51
820.5226	48
822.1603	48
823.7979	48
825.4355	45
827.0732	46
828.7108	43
830.3484	41
831.9861	41
833.6237	41
835.2613	40
836.8990	39
838.5366	38
840.1742	40
841.8118	37
843.4495	39
845.0871	38
846.7247	34
848.3624	38
850.0000	36
