# Espectro C12880MA - Capturado el 2025-11-15 13:32:59
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	27
384.9129	25
386.5505	27
388.1882	22
389.8258	25
391.4634	23
393.1010	22
394.7387	25
396.3763	22
398.0139	20
399.6516	24
401.2892	24
402.9268	20
404.5645	20
406.2021	21
407.8397	21
409.4774	19
411.1150	20
412.7526	22
414.3902	21
416.0279	23
417.6655	21
419.3031	21
420.9408	23
422.5784	22
424.2160	22
425.8537	24
427.4913	22
429.1289	24
430.7666	23
432.4042	26
434.0418	31
435.6794	35
437.3171	41
438.9547	54
440.5923	68
442.2300	84
443.8676	96
445.5052	116
447.1429	130
448.7805	141
450.4181	150
452.0557	157
453.6934	155
455.3310	154
456.9686	152
458.6063	147
460.2439	151
461.8815	157
463.5192	165
465.1568	170
466.7944	173
468.4321	182
470.0697	188
471.7073	197
473.3449	205
474.9826	210
476.6202	216
478.2578	224
479.8955	230
481.5331	240
483.1707	238
484.8084	247
486.4460	256
488.0836	261
489.7213	268
491.3589	273
492.9965	266
494.6341	262
496.2718	257
497.9094	251
499.5470	254
501.1847	251
502.8223	242
504.4599	244
506.0976	234
507.7352	227
509.3728	224
511.0105	216
512.6481	209
514.2857	203
515.9233	202
517.5610	198
519.1986	198
520.8362	206
522.4739	209
524.1115	215
525.7491	215
527.3868	219
529.0244	216
530.6620	213
532.2997	210
533.9373	211
535.5749	211
537.2125	209
538.8502	210
540.4878	205
542.1254	201
543.7631	201
545.4007	201
547.0383	202
548.6760	198
550.3136	201
551.9512	205
553.5889	206
555.2265	208
556.8641	214
558.5017	218
560.1394	231
561.7770	231
563.4146	239
565.0523	244
566.6899	245
568.3275	247
569.9652	252
571.6028	255
573.2404	264
574.8780	267
576.5157	270
578.1533	276
579.7909	278
581.4286	280
583.0662	283
584.7038	285
586.3415	286
587.9791	284
589.6167	282
591.2544	284
592.8920	282
594.5296	281
596.1672	276
597.8049	274
599.4425	276
601.0801	272
602.7178	269
604.3554	272
605.9930	271
607.6307	267
609.2683	265
610.9059	263
612.5436	264
614.1812	256
615.8188	250
617.4564	250
619.0941	242
620.7317	244
622.3693	243
624.0070	242
625.6446	244
627.2822	247
628.9199	243
630.5575	243
632.1951	242
633.8328	245
635.4704	234
637.1080	236
638.7456	238
640.3833	232
642.0209	226
643.6585	218
645.2962	214
646.9338	211
648.5714	212
650.2091	212
651.8467	214
653.4843	215
655.1220	215
656.7596	217
658.3972	216
660.0348	218
661.6725	219
663.3101	217
664.9477	217
666.5854	212
668.2230	207
669.8606	201
671.4983	194
673.1359	188
674.7735	185
676.4111	183
678.0488	182
679.6864	177
681.3240	183
682.9617	182
684.5993	183
686.2369	185
687.8746	189
689.5122	192
691.1498	195
692.7875	190
694.4251	193
696.0627	189
697.7003	186
699.3380	188
700.9756	185
702.6132	180
704.2509	179
705.8885	169
707.5261	161
709.1638	149
710.8014	135
712.4390	125
714.0767	123
715.7143	116
717.3519	126
718.9895	130
720.6272	140
722.2648	146
723.9024	146
725.5401	144
727.1777	146
728.8153	139
730.4530	141
732.0906	139
733.7282	134
735.3659	131
737.0035	129
738.6411	128
740.2787	129
741.9164	119
743.5540	122
745.1916	116
746.8293	112
748.4669	110
750.1045	109
751.7422	105
753.3798	105
755.0174	100
756.6551	104
758.2927	99
759.9303	97
761.5679	92
763.2056	90
764.8432	87
766.4808	84
768.1185	80
769.7561	81
771.3937	75
773.0314	72
774.6690	74
776.3066	69
777.9443	67
779.5819	70
781.2195	67
782.8571	70
784.4948	66
786.1324	65
787.7700	66
789.4077	62
791.0453	62
792.6829	64
794.3206	63
795.9582	63
797.5958	61
799.2334	61
800.8711	61
802.5087	57
804.1463	59
805.7840	59
807.4216	57
809.0592	55
810.6969	52
812.3345	51
813.9721	52
815.6098	49
817.2474	48
818.8850	49
820.5226	46
822.1603	48
823.7979	47
825.4355	44
827.0732	45
828.7108	42
830.3484	42
831.9861	44
833.6237	42
835.2613	40
836.8990	40
838.5366	38
840.1742	39
841.8118	38
843.4495	39
845.0871	37
846.7247	36
848.3624	37
850.0000	36
