# Espectro C12880MA - Capturado el 2025-11-15 13:33:08
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	26
384.9129	23
386.5505	26
388.1882	22
389.8258	24
391.4634	23
393.1010	20
394.7387	23
396.3763	21
398.0139	19
399.6516	21
401.2892	19
402.9268	21
404.5645	21
406.2021	22
407.8397	20
409.4774	19
411.1150	21
412.7526	21
414.3902	21
416.0279	22
417.6655	22
419.3031	21
420.9408	20
422.5784	19
424.2160	21
425.8537	21
427.4913	20
429.1289	22
430.7666	24
432.4042	24
434.0418	28
435.6794	31
437.3171	39
438.9547	51
440.5923	66
442.2300	79
443.8676	92
445.5052	107
447.1429	123
448.7805	133
450.4181	139
452.0557	149
453.6934	148
455.3310	148
456.9686	143
458.6063	143
460.2439	146
461.8815	148
463.5192	154
465.1568	164
466.7944	164
468.4321	176
470.0697	185
471.7073	187
473.3449	194
474.9826	198
476.6202	207
478.2578	214
479.8955	220
481.5331	229
483.1707	229
484.8084	234
486.4460	248
488.0836	249
489.7213	254
491.3589	261
492.9965	252
494.6341	253
496.2718	246
497.9094	243
499.5470	244
501.1847	241
502.8223	234
504.4599	229
506.0976	223
507.7352	221
509.3728	213
511.0105	209
512.6481	200
514.2857	195
515.9233	192
517.5610	190
519.1986	189
520.8362	197
522.4739	202
524.1115	203
525.7491	207
527.3868	209
529.0244	207
530.6620	206
532.2997	205
533.9373	202
535.5749	201
537.2125	202
538.8502	200
540.4878	193
542.1254	194
543.7631	193
545.4007	190
547.0383	193
548.6760	193
550.3136	189
551.9512	196
553.5889	197
555.2265	201
556.8641	207
558.5017	208
560.1394	222
561.7770	220
563.4146	229
565.0523	233
566.6899	235
568.3275	234
569.9652	242
571.6028	241
573.2404	253
574.8780	255
576.5157	260
578.1533	270
579.7909	268
581.4286	269
583.0662	271
584.7038	273
586.3415	277
587.9791	274
589.6167	274
591.2544	275
592.8920	272
594.5296	271
596.1672	265
597.8049	267
599.4425	266
601.0801	261
602.7178	260
604.3554	260
605.9930	263
607.6307	264
609.2683	260
610.9059	255
612.5436	255
614.1812	248
615.8188	240
617.4564	239
619.0941	235
620.7317	233
622.3693	236
624.0070	235
625.6446	242
627.2822	240
628.9199	235
630.5575	234
632.1951	231
633.8328	236
635.4704	230
637.1080	225
638.7456	228
640.3833	218
642.0209	220
643.6585	208
645.2962	206
646.9338	201
648.5714	205
650.2091	205
651.8467	212
653.4843	208
655.1220	208
656.7596	211
658.3972	208
660.0348	209
661.6725	208
663.3101	207
664.9477	210
666.5854	204
668.2230	201
669.8606	195
671.4983	190
673.1359	183
674.7735	181
676.4111	175
678.0488	175
679.6864	171
681.3240	175
682.9617	176
684.5993	178
686.2369	177
687.8746	182
689.5122	184
691.1498	186
692.7875	185
694.4251	187
696.0627	186
697.7003	180
699.3380	181
700.9756	180
702.6132	175
704.2509	173
705.8885	164
707.5261	153
709.1638	142
710.8014	129
712.4390	118
714.0767	116
715.7143	111
717.3519	119
718.9895	125
720.6272	134
722.2648	141
723.9024	140
725.5401	140
727.1777	141
728.8153	137
730.4530	136
732.0906	131
733.7282	132
735.3659	125
737.0035	125
738.6411	120
740.2787	120
741.9164	114
743.5540	117
745.1916	111
746.8293	108
748.4669	108
750.1045	105
751.7422	104
753.3798	105
755.0174	98
756.6551	99
758.2927	92
759.9303	89
761.5679	88
763.2056	88
764.8432	84
766.4808	81
768.1185	75
769.7561	74
771.3937	71
773.0314	71
774.6690	71
776.3066	67
777.9443	66
779.5819	65
781.2195	63
782.8571	67
784.4948	63
786.1324	63
787.7700	62
789.4077	62
791.0453	61
792.6829	61
794.3206	57
795.9582	60
797.5958	59
799.2334	57
800.8711	58
802.5087	55
804.1463	55
805.7840	54
807.4216	50
809.0592	53
810.6969	51
812.3345	47
813.9721	51
815.6098	49
817.2474	47
818.8850	48
820.5226	45
822.1603	46
823.7979	43
825.4355	43
827.0732	42
828.7108	40
830.3484	40
831.9861	41
833.6237	39
835.2613	38
836.8990	36
838.5366	36
840.1742	35
841.8118	36
843.4495	36
845.0871	36
846.7247	34
848.3624	35
850.0000	33
