# Espectro C12880MA - Capturado el 2025-11-15 13:34:29
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	27
384.9129	25
386.5505	27
388.1882	24
389.8258	25
391.4634	26
393.1010	22
394.7387	25
396.3763	23
398.0139	21
399.6516	23
401.2892	20
402.9268	22
404.5645	20
406.2021	22
407.8397	21
409.4774	20
411.1150	21
412.7526	21
414.3902	21
416.0279	23
417.6655	21
419.3031	23
420.9408	22
422.5784	20
424.2160	21
425.8537	22
427.4913	22
429.1289	23
430.7666	26
432.4042	26
434.0418	31
435.6794	35
437.3171	40
438.9547	53
440.5923	68
442.2300	83
443.8676	97
445.5052	113
447.1429	128
448.7805	141
450.4181	148
452.0557	156
453.6934	157
455.3310	154
456.9686	151
458.6063	150
460.2439	150
461.8815	153
463.5192	160
465.1568	172
466.7944	173
468.4321	179
470.0697	189
471.7073	194
473.3449	203
474.9826	208
476.6202	214
478.2578	221
479.8955	228
481.5331	239
483.1707	237
484.8084	246
486.4460	258
488.0836	259
489.7213	267
491.3589	267
492.9965	265
494.6341	261
496.2718	257
497.9094	250
499.5470	251
501.1847	251
502.8223	245
504.4599	239
506.0976	229
507.7352	226
509.3728	224
511.0105	212
512.6481	207
514.2857	202
515.9233	198
517.5610	199
519.1986	200
520.8362	205
522.4739	208
524.1115	209
525.7491	213
527.3868	212
529.0244	211
530.6620	212
532.2997	208
533.9373	210
535.5749	207
537.2125	209
538.8502	204
540.4878	203
542.1254	202
543.7631	201
545.4007	198
547.0383	200
548.6760	198
550.3136	196
551.9512	202
553.5889	207
555.2265	206
556.8641	217
558.5017	219
560.1394	229
561.7770	234
563.4146	236
565.0523	242
566.6899	243
568.3275	241
569.9652	250
571.6028	252
573.2404	258
574.8780	264
576.5157	269
578.1533	279
579.7909	279
581.4286	281
583.0662	284
584.7038	280
586.3415	284
587.9791	282
589.6167	281
591.2544	283
592.8920	281
594.5296	279
596.1672	275
597.8049	272
599.4425	272
601.0801	272
602.7178	267
604.3554	272
605.9930	269
607.6307	269
609.2683	265
610.9059	262
612.5436	260
614.1812	257
615.8188	249
617.4564	246
619.0941	240
620.7317	241
622.3693	241
624.0070	240
625.6446	242
627.2822	246
628.9199	238
630.5575	243
632.1951	241
633.8328	241
635.4704	237
637.1080	235
638.7456	231
640.3833	230
642.0209	224
643.6585	216
645.2962	214
646.9338	211
648.5714	213
650.2091	210
651.8467	217
653.4843	218
655.1220	219
656.7596	220
658.3972	214
660.0348	214
661.6725	215
663.3101	214
664.9477	217
666.5854	210
668.2230	205
669.8606	199
671.4983	193
673.1359	188
674.7735	183
676.4111	179
678.0488	182
679.6864	178
681.3240	183
682.9617	182
684.5993	184
686.2369	184
687.8746	190
689.5122	191
691.1498	193
692.7875	191
694.4251	189
696.0627	189
697.7003	185
699.3380	184
700.9756	186
702.6132	178
704.2509	177
705.8885	167
707.5261	158
709.1638	148
710.8014	131
712.4390	123
714.0767	119
715.7143	114
717.3519	123
718.9895	128
720.6272	137
722.2648	143
723.9024	144
725.5401	144
727.1777	145
728.8153	143
730.4530	139
732.0906	135
733.7282	133
735.3659	132
737.0035	128
738.6411	125
740.2787	123
741.9164	118
743.5540	118
745.1916	115
746.8293	113
748.4669	110
750.1045	107
751.7422	106
753.3798	106
755.0174	100
756.6551	99
758.2927	97
759.9303	95
761.5679	93
763.2056	88
764.8432	85
766.4808	85
768.1185	76
769.7561	82
771.3937	75
773.0314	73
774.6690	72
776.3066	68
777.9443	67
779.5819	67
781.2195	62
782.8571	68
784.4948	67
786.1324	63
787.7700	68
789.4077	62
791.0453	62
792.6829	63
794.3206	61
795.9582	64
797.5958	60
799.2334	61
800.8711	63
802.5087	58
804.1463	57
805.7840	56
807.4216	52
809.0592	54
810.6969	51
812.3345	49
813.9721	52
815.6098	49
817.2474	48
818.8850	48
820.5226	47
822.1603	47
823.7979	45
825.4355	44
827.0732	45
828.7108	43
830.3484	42
831.9861	41
833.6237	41
835.2613	40
836.8990	36
838.5366	38
840.1742	38
841.8118	38
843.4495	37
845.0871	37
846.7247	34
848.3624	37
850.0000	36
