# Espectro C12880MA - Capturado el 2025-11-15 13:33:03
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	26
384.9129	25
386.5505	25
388.1882	22
389.8258	25
391.4634	24
393.1010	23
394.7387	24
396.3763	22
398.0139	21
399.6516	24
401.2892	21
402.9268	21
404.5645	20
406.2021	22
407.8397	21
409.4774	20
411.1150	22
412.7526	22
414.3902	21
416.0279	23
417.6655	22
419.3031	21
420.9408	22
422.5784	20
424.2160	21
425.8537	22
427.4913	21
429.1289	23
430.7666	24
432.4042	25
434.0418	31
435.6794	32
437.3171	41
438.9547	53
440.5923	67
442.2300	83
443.8676	96
445.5052	112
447.1429	131
448.7805	138
450.4181	150
452.0557	154
453.6934	155
455.3310	154
456.9686	147
458.6063	146
460.2439	151
461.8815	153
463.5192	163
465.1568	170
466.7944	174
468.4321	184
470.0697	188
471.7073	195
473.3449	201
474.9826	208
476.6202	210
478.2578	221
479.8955	228
481.5331	237
483.1707	240
484.8084	247
486.4460	255
488.0836	259
489.7213	267
491.3589	274
492.9965	264
494.6341	262
496.2718	255
497.9094	249
499.5470	252
501.1847	251
502.8223	245
504.4599	237
506.0976	231
507.7352	226
509.3728	223
511.0105	216
512.6481	212
514.2857	203
515.9233	202
517.5610	200
519.1986	200
520.8362	204
522.4739	209
524.1115	211
525.7491	213
527.3868	216
529.0244	214
530.6620	213
532.2997	209
533.9373	207
535.5749	212
537.2125	209
538.8502	208
540.4878	205
542.1254	204
543.7631	199
545.4007	198
547.0383	201
548.6760	200
550.3136	197
551.9512	204
553.5889	203
555.2265	208
556.8641	216
558.5017	216
560.1394	227
561.7770	231
563.4146	241
565.0523	243
566.6899	246
568.3275	242
569.9652	251
571.6028	252
573.2404	260
574.8780	263
576.5157	267
578.1533	276
579.7909	277
581.4286	280
583.0662	279
584.7038	280
586.3415	284
587.9791	283
589.6167	282
591.2544	280
592.8920	278
594.5296	281
596.1672	277
597.8049	273
599.4425	272
601.0801	269
602.7178	268
604.3554	272
605.9930	269
607.6307	269
609.2683	268
610.9059	265
612.5436	264
614.1812	256
615.8188	252
617.4564	250
619.0941	243
620.7317	241
622.3693	238
624.0070	245
625.6446	242
627.2822	243
628.9199	244
630.5575	241
632.1951	238
633.8328	241
635.4704	242
637.1080	234
638.7456	233
640.3833	230
642.0209	223
643.6585	218
645.2962	216
646.9338	211
648.5714	212
650.2091	210
651.8467	216
653.4843	217
655.1220	220
656.7596	217
658.3972	216
660.0348	217
661.6725	215
663.3101	214
664.9477	217
666.5854	207
668.2230	206
669.8606	202
671.4983	193
673.1359	185
674.7735	183
676.4111	177
678.0488	179
679.6864	179
681.3240	180
682.9617	180
684.5993	181
686.2369	187
687.8746	190
689.5122	192
691.1498	192
692.7875	189
694.4251	192
696.0627	190
697.7003	187
699.3380	187
700.9756	184
702.6132	177
704.2509	176
705.8885	168
707.5261	157
709.1638	148
710.8014	134
712.4390	122
714.0767	120
715.7143	116
717.3519	122
718.9895	129
720.6272	138
722.2648	142
723.9024	146
725.5401	145
727.1777	145
728.8153	140
730.4530	141
732.0906	137
733.7282	136
735.3659	132
737.0035	128
738.6411	126
740.2787	128
741.9164	118
743.5540	119
745.1916	116
746.8293	112
748.4669	112
750.1045	108
751.7422	108
753.3798	107
755.0174	101
756.6551	101
758.2927	97
759.9303	94
761.5679	94
763.2056	89
764.8432	87
766.4808	85
768.1185	78
769.7561	78
771.3937	71
773.0314	73
774.6690	72
776.3066	70
777.9443	69
779.5819	72
781.2195	65
782.8571	68
784.4948	65
786.1324	65
787.7700	65
789.4077	64
791.0453	62
792.6829	64
794.3206	61
795.9582	61
797.5958	61
799.2334	59
800.8711	59
802.5087	58
804.1463	57
805.7840	59
807.4216	55
809.0592	56
810.6969	51
812.3345	50
813.9721	51
815.6098	50
817.2474	47
818.8850	49
820.5226	48
822.1603	47
823.7979	46
825.4355	45
827.0732	45
828.7108	43
830.3484	41
831.9861	43
833.6237	40
835.2613	41
836.8990	38
838.5366	38
840.1742	39
841.8118	38
843.4495	36
845.0871	38
846.7247	35
848.3624	38
850.0000	37
