# Espectro C12880MA - Capturado el 2025-11-15 13:32:07
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	27
384.9129	25
386.5505	25
388.1882	24
389.8258	24
391.4634	24
393.1010	22
394.7387	24
396.3763	22
398.0139	22
399.6516	24
401.2892	22
402.9268	20
404.5645	21
406.2021	21
407.8397	21
409.4774	21
411.1150	21
412.7526	22
414.3902	21
416.0279	23
417.6655	22
419.3031	23
420.9408	22
422.5784	22
424.2160	22
425.8537	23
427.4913	21
429.1289	23
430.7666	25
432.4042	26
434.0418	30
435.6794	33
437.3171	39
438.9547	52
440.5923	65
442.2300	78
443.8676	93
445.5052	107
447.1429	124
448.7805	136
450.4181	143
452.0557	149
453.6934	152
455.3310	151
456.9686	144
458.6063	143
460.2439	145
461.8815	150
463.5192	159
465.1568	162
466.7944	165
468.4321	177
470.0697	181
471.7073	190
473.3449	199
474.9826	200
476.6202	205
478.2578	218
479.8955	224
481.5331	229
483.1707	231
484.8084	238
486.4460	246
488.0836	251
489.7213	258
491.3589	261
492.9965	256
494.6341	253
496.2718	247
497.9094	242
499.5470	247
501.1847	240
502.8223	235
504.4599	231
506.0976	223
507.7352	223
509.3728	216
511.0105	206
512.6481	201
514.2857	196
515.9233	193
517.5610	193
519.1986	193
520.8362	197
522.4739	203
524.1115	206
525.7491	209
527.3868	208
529.0244	207
530.6620	206
532.2997	205
533.9373	204
535.5749	202
537.2125	201
538.8502	202
540.4878	198
542.1254	198
543.7631	195
545.4007	193
547.0383	194
548.6760	194
550.3136	192
551.9512	199
553.5889	198
555.2265	204
556.8641	209
558.5017	211
560.1394	223
561.7770	225
563.4146	229
565.0523	238
566.6899	237
568.3275	236
569.9652	243
571.6028	245
573.2404	253
574.8780	258
576.5157	262
578.1533	269
579.7909	269
581.4286	271
583.0662	273
584.7038	273
586.3415	272
587.9791	274
589.6167	271
591.2544	273
592.8920	271
594.5296	268
596.1672	269
597.8049	266
599.4425	267
601.0801	263
602.7178	260
604.3554	264
605.9930	258
607.6307	258
609.2683	254
610.9059	255
612.5436	255
614.1812	246
615.8188	240
617.4564	241
619.0941	236
620.7317	233
622.3693	234
624.0070	236
625.6446	239
627.2822	238
628.9199	238
630.5575	234
632.1951	236
633.8328	234
635.4704	232
637.1080	230
638.7456	227
640.3833	226
642.0209	218
643.6585	215
645.2962	207
646.9338	206
648.5714	208
650.2091	208
651.8467	209
653.4843	211
655.1220	210
656.7596	216
658.3972	212
660.0348	212
661.6725	212
663.3101	211
664.9477	210
666.5854	209
668.2230	205
669.8606	199
671.4983	191
673.1359	185
674.7735	182
676.4111	178
678.0488	179
679.6864	174
681.3240	176
682.9617	180
684.5993	183
686.2369	184
687.8746	187
689.5122	189
691.1498	190
692.7875	187
694.4251	187
696.0627	186
697.7003	185
699.3380	184
700.9756	184
702.6132	177
704.2509	175
705.8885	164
707.5261	160
709.1638	146
710.8014	134
712.4390	121
714.0767	120
715.7143	115
717.3519	123
718.9895	128
720.6272	140
722.2648	142
723.9024	146
725.5401	144
727.1777	147
728.8153	141
730.4530	143
732.0906	135
733.7282	133
735.3659	131
737.0035	130
738.6411	126
740.2787	124
741.9164	117
743.5540	119
745.1916	112
746.8293	113
748.4669	112
750.1045	111
751.7422	106
753.3798	107
755.0174	99
756.6551	100
758.2927	98
759.9303	97
761.5679	93
763.2056	89
764.8432	86
766.4808	85
768.1185	79
769.7561	77
771.3937	73
773.0314	73
774.6690	75
776.3066	69
777.9443	68
779.5819	70
781.2195	65
782.8571	67
784.4948	68
786.1324	65
787.7700	63
789.4077	63
791.0453	64
792.6829	64
794.3206	63
795.9582	60
797.5958	59
799.2334	62
800.8711	61
802.5087	60
804.1463	57
805.7840	57
807.4216	55
809.0592	57
810.6969	53
812.3345	52
813.9721	51
815.6098	49
817.2474	49
818.8850	51
820.5226	48
822.1603	48
823.7979	45
825.4355	46
827.0732	46
828.7108	43
830.3484	42
831.9861	43
833.6237	41
835.2613	39
836.8990	37
838.5366	38
840.1742	38
841.8118	38
843.4495	38
845.0871	36
846.7247	35
848.3624	38
850.0000	36
