# Espectro C12880MA - Capturado el 2025-11-15 13:32:29
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	27
384.9129	26
386.5505	26
388.1882	22
389.8258	28
391.4634	24
393.1010	23
394.7387	25
396.3763	22
398.0139	21
399.6516	25
401.2892	23
402.9268	22
404.5645	20
406.2021	20
407.8397	21
409.4774	20
411.1150	23
412.7526	23
414.3902	22
416.0279	23
417.6655	22
419.3031	21
420.9408	22
422.5784	22
424.2160	22
425.8537	23
427.4913	21
429.1289	24
430.7666	24
432.4042	26
434.0418	31
435.6794	33
437.3171	40
438.9547	54
440.5923	67
442.2300	81
443.8676	97
445.5052	111
447.1429	127
448.7805	141
450.4181	149
452.0557	154
453.6934	151
455.3310	154
456.9686	147
458.6063	145
460.2439	148
461.8815	152
463.5192	160
465.1568	170
466.7944	173
468.4321	183
470.0697	186
471.7073	195
473.3449	200
474.9826	206
476.6202	211
478.2578	222
479.8955	225
481.5331	236
483.1707	238
484.8084	243
486.4460	257
488.0836	257
489.7213	265
491.3589	268
492.9965	262
494.6341	265
496.2718	254
497.9094	252
499.5470	252
501.1847	248
502.8223	241
504.4599	237
506.0976	230
507.7352	225
509.3728	222
511.0105	217
512.6481	208
514.2857	203
515.9233	199
517.5610	199
519.1986	199
520.8362	204
522.4739	207
524.1115	209
525.7491	213
527.3868	216
529.0244	212
530.6620	209
532.2997	208
533.9373	208
535.5749	206
537.2125	207
538.8502	205
540.4878	206
542.1254	201
543.7631	201
545.4007	197
547.0383	199
548.6760	199
550.3136	197
551.9512	204
553.5889	208
555.2265	205
556.8641	213
558.5017	214
560.1394	228
561.7770	229
563.4146	238
565.0523	239
566.6899	240
568.3275	243
569.9652	249
571.6028	253
573.2404	259
574.8780	264
576.5157	268
578.1533	276
579.7909	275
581.4286	280
583.0662	281
584.7038	282
586.3415	284
587.9791	283
589.6167	280
591.2544	281
592.8920	281
594.5296	276
596.1672	275
597.8049	269
599.4425	272
601.0801	272
602.7178	267
604.3554	270
605.9930	269
607.6307	270
609.2683	263
610.9059	261
612.5436	262
614.1812	254
615.8188	247
617.4564	248
619.0941	241
620.7317	242
622.3693	241
624.0070	244
625.6446	242
627.2822	245
628.9199	239
630.5575	239
632.1951	238
633.8328	240
635.4704	238
637.1080	236
638.7456	232
640.3833	230
642.0209	220
643.6585	219
645.2962	213
646.9338	210
648.5714	214
650.2091	211
651.8467	215
653.4843	217
655.1220	216
656.7596	223
658.3972	216
660.0348	215
661.6725	213
663.3101	215
664.9477	216
666.5854	212
668.2230	206
669.8606	201
671.4983	194
673.1359	188
674.7735	185
676.4111	181
678.0488	182
679.6864	177
681.3240	180
682.9617	178
684.5993	182
686.2369	185
687.8746	189
689.5122	188
691.1498	192
692.7875	191
694.4251	189
696.0627	188
697.7003	188
699.3380	188
700.9756	185
702.6132	180
704.2509	177
705.8885	171
707.5261	161
709.1638	149
710.8014	134
712.4390	124
714.0767	119
715.7143	114
717.3519	124
718.9895	128
720.6272	138
722.2648	143
723.9024	144
725.5401	145
727.1777	146
728.8153	143
730.4530	142
732.0906	136
733.7282	134
735.3659	133
737.0035	127
738.6411	126
740.2787	123
741.9164	121
743.5540	120
745.1916	115
746.8293	111
748.4669	111
750.1045	107
751.7422	107
753.3798	107
755.0174	101
756.6551	101
758.2927	99
759.9303	95
761.5679	96
763.2056	91
764.8432	88
766.4808	84
768.1185	80
769.7561	79
771.3937	75
773.0314	73
774.6690	73
776.3066	67
777.9443	68
779.5819	69
781.2195	65
782.8571	69
784.4948	66
786.1324	65
787.7700	66
789.4077	63
791.0453	64
792.6829	64
794.3206	62
795.9582	62
797.5958	63
799.2334	60
800.8711	61
802.5087	60
804.1463	56
805.7840	58
807.4216	54
809.0592	55
810.6969	52
812.3345	51
813.9721	53
815.6098	49
817.2474	49
818.8850	50
820.5226	48
822.1603	49
823.7979	46
825.4355	46
827.0732	46
828.7108	43
830.3484	43
831.9861	42
833.6237	42
835.2613	42
836.8990	40
838.5366	36
840.1742	38
841.8118	37
843.4495	38
845.0871	38
846.7247	35
848.3624	38
850.0000	37
