# Espectro C12880MA - Capturado el 2025-11-15 13:32:46
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	25
384.9129	25
386.5505	25
388.1882	22
389.8258	26
391.4634	24
393.1010	23
394.7387	25
396.3763	21
398.0139	20
399.6516	24
401.2892	22
402.9268	21
404.5645	20
406.2021	21
407.8397	22
409.4774	20
411.1150	21
412.7526	21
414.3902	21
416.0279	24
417.6655	23
419.3031	23
420.9408	24
422.5784	22
424.2160	22
425.8537	24
427.4913	20
429.1289	24
430.7666	23
432.4042	26
434.0418	32
435.6794	33
437.3171	40
438.9547	52
440.5923	69
442.2300	84
443.8676	96
445.5052	111
447.1429	128
448.7805	142
450.4181	151
452.0557	157
453.6934	159
455.3310	157
456.9686	152
458.6063	148
460.2439	152
461.8815	155
463.5192	162
465.1568	170
466.7944	171
468.4321	184
470.0697	190
471.7073	197
473.3449	207
474.9826	210
476.6202	217
478.2578	221
479.8955	232
481.5331	241
483.1707	238
484.8084	246
486.4460	256
488.0836	264
489.7213	264
491.3589	273
492.9965	266
494.6341	263
496.2718	255
497.9094	255
499.5470	256
501.1847	252
502.8223	243
504.4599	242
506.0976	233
507.7352	232
509.3728	227
511.0105	214
512.6481	210
514.2857	205
515.9233	202
517.5610	198
519.1986	202
520.8362	203
522.4739	210
524.1115	213
525.7491	216
527.3868	214
529.0244	214
530.6620	212
532.2997	210
533.9373	213
535.5749	210
537.2125	209
538.8502	207
540.4878	202
542.1254	205
543.7631	201
545.4007	199
547.0383	201
548.6760	199
550.3136	201
551.9512	202
553.5889	207
555.2265	210
556.8641	216
558.5017	220
560.1394	231
561.7770	233
563.4146	238
565.0523	243
566.6899	243
568.3275	246
569.9652	252
571.6028	254
573.2404	264
574.8780	264
576.5157	272
578.1533	281
579.7909	280
581.4286	280
583.0662	284
584.7038	281
586.3415	288
587.9791	285
589.6167	285
591.2544	283
592.8920	282
594.5296	282
596.1672	277
597.8049	271
599.4425	276
601.0801	272
602.7178	273
604.3554	273
605.9930	268
607.6307	270
609.2683	263
610.9059	265
612.5436	265
614.1812	256
615.8188	247
617.4564	250
619.0941	243
620.7317	243
622.3693	242
624.0070	246
625.6446	244
627.2822	244
628.9199	243
630.5575	240
632.1951	242
633.8328	244
635.4704	239
637.1080	237
638.7456	233
640.3833	229
642.0209	222
643.6585	216
645.2962	214
646.9338	213
648.5714	213
650.2091	213
651.8467	218
653.4843	217
655.1220	215
656.7596	219
658.3972	218
660.0348	217
661.6725	216
663.3101	216
664.9477	218
666.5854	210
668.2230	208
669.8606	200
671.4983	194
673.1359	188
674.7735	182
676.4111	180
678.0488	182
679.6864	177
681.3240	184
682.9617	181
684.5993	187
686.2369	186
687.8746	187
689.5122	190
691.1498	191
692.7875	191
694.4251	190
696.0627	191
697.7003	186
699.3380	186
700.9756	184
702.6132	181
704.2509	176
705.8885	169
707.5261	158
709.1638	150
710.8014	133
712.4390	125
714.0767	121
715.7143	115
717.3519	124
718.9895	129
720.6272	137
722.2648	144
723.9024	145
725.5401	148
727.1777	146
728.8153	142
730.4530	143
732.0906	137
733.7282	135
735.3659	132
737.0035	129
738.6411	129
740.2787	125
741.9164	121
743.5540	120
745.1916	117
746.8293	114
748.4669	112
750.1045	109
751.7422	107
753.3798	106
755.0174	101
756.6551	101
758.2927	98
759.9303	96
761.5679	93
763.2056	89
764.8432	87
766.4808	85
768.1185	78
769.7561	79
771.3937	73
773.0314	73
774.6690	74
776.3066	69
777.9443	67
779.5819	68
781.2195	66
782.8571	68
784.4948	66
786.1324	67
787.7700	67
789.4077	64
791.0453	62
792.6829	63
794.3206	63
795.9582	61
797.5958	59
799.2334	61
800.8711	60
802.5087	58
804.1463	58
805.7840	58
807.4216	54
809.0592	54
810.6969	53
812.3345	50
813.9721	52
815.6098	49
817.2474	47
818.8850	51
820.5226	48
822.1603	49
823.7979	47
825.4355	44
827.0732	45
828.7108	42
830.3484	42
831.9861	43
833.6237	40
835.2613	40
836.8990	40
838.5366	41
840.1742	38
841.8118	38
843.4495	37
845.0871	40
846.7247	35
848.3624	38
850.0000	35
